timestamp,dpid,packet_count,byte_count,duration_sec
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,3,238,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6034455,3,2,196,5
1770562042.6034455,3,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,3,238,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035163,4,2,196,5
1770562042.6035163,4,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
1770562042.6035547,2,2,140,5
1770562042.6035547,2,3,238,5
